caseid,barangay_code,barangay,province,municipality,age,gender,hh_size,income,consumption,gps_lat,gps_lon,duration,enumerator,submission_date
I000803,B046,Barangay 046,Iloilo,Iloilo Mun 11,35,female,5,10280.39,7834.55,9.0887,123.870968,862,enum_02,2025-04-18
I004900,B274,Barangay 274,Iloilo,Iloilo Mun 8,20,male,5,12303.24,11545.82,11.094024,125.782224,1136,enum_10,2025-10-10
I005786,B319,Barangay 319,Agusan del Norte,Agusan Mun 14,39,female,4,14864.99,15595.48,8.894392,125.216485,757,enum_18,2025-02-17
I005530,B306,Barangay 306,Negros Occidental,Negros Mun 1,49,female,5,6660.19,4147.44,6.730931,125.393524,665,enum_01,2025-04-08
I003088,B173,Barangay 173,Leyte,Leyte Mun 7,30,female,1,6553.28,6583.13,10.193622,123.935307,780,enum_11,2025-07-23
I003258,B182,Barangay 182,Bukidnon,Bukidnon Mun 7,48,male,4,12603.97,7819.7,10.507377,123.964091,1102,enum_19,2025-08-19
I003578,B201,Barangay 201,Cebu,Cebu Mun 8,31,female,4,6927.34,6897.01,6.829031,124.26743,895,enum_11,2025-04-14
I003215,B180,Barangay 180,Negros Occidental,Negros Mun 11,18,female,4,17178.45,13044.31,7.996412,124.42177,987,enum_12,2025-10-06
I000473,B028,Barangay 028,Iloilo,Iloilo Mun 8,26,male,5,7839.41,4720.34,9.439506,122.028974,805,enum_11,2025-08-26
I001049,B060,Barangay 060,Negros Occidental,Negros Mun 1,25,female,3,11566.06,12456.01,10.788089,123.193664,1136,enum_09,2025-09-18
I004112,B230,Barangay 230,Bukidnon,Bukidnon Mun 11,42,male,6,12732.4,7976.46,7.705918,124.326289,832,enum_20,2025-07-21
I007593,B417,Barangay 417,Cebu,Cebu Mun 4,45,female,6,13238.37,12871.41,11.64339,122.75884,391,enum_05,2025-09-30
I001188,B067,Barangay 067,Agusan del Norte,Agusan Mun 8,30,male,2,9226.73,7308.64,11.953361,123.33689,758,enum_08,2025-06-14
I000608,B035,Barangay 035,Leyte,Leyte Mun 1,18,male,5,12399.15,11782.03,11.567933,124.3658,965,enum_02,2025-06-16
I008127,B446,Barangay 446,Bukidnon,Bukidnon Mun 12,28,female,2,8207.01,8320.61,6.512461,125.083814,396,enum_05,2025-07-05
I003416,B191,Barangay 191,Leyte,Leyte Mun 15,38,male,5,12345.44,8254.34,11.372593,125.492065,976,enum_10,2025-09-21
I002641,B148,Barangay 148,Iloilo,Iloilo Mun 4,33,female,5,10164.23,8882.3,11.837777,124.055994,925,enum_20,2025-04-23
I002531,B142,Barangay 142,Iloilo,Iloilo Mun 3,18,male,4,17857.59,14583.24,7.175065,122.980197,626,enum_13,2025-10-25
I004336,B242,Barangay 242,Bukidnon,Bukidnon Mun 12,48,female,9,17027.3,18433.48,7.624302,123.0597,1045,enum_06,2025-02-20
I004513,B252,Barangay 252,Negros Occidental,Negros Mun 4,18,female,5,17020.38,15469.18,11.297779,123.24189,762,enum_17,2025-02-05
I003280,B183,Barangay 183,Cebu,Cebu Mun 9,43,male,4,11884.38,7813.04,11.636142,124.782655,870,enum_19,2025-07-20
I006540,B360,Barangay 360,Negros Occidental,Negros Mun 12,35,female,3,14176.84,13419.47,11.285905,123.636524,1061,enum_16,2025-05-01
I001842,B100,Barangay 100,Iloilo,Iloilo Mun 11,43,female,5,16573.38,17792.89,6.027678,125.540521,970,enum_07,2025-06-16
I001546,B084,Barangay 084,Negros Occidental,Negros Mun 12,29,male,3,8935.48,6341.76,9.228568,123.709354,1446,enum_17,2025-04-06
I003188,B179,Barangay 179,Leyte,Leyte Mun 3,38,female,4,14183.24,14848.51,6.105264,122.282012,1142,enum_01,2025-08-27
I000202,B013,Barangay 013,Agusan del Norte,Agusan Mun 5,22,male,2,14558.55,9320.03,8.985276,123.156222,1025,enum_09,2025-10-23
I005141,B287,Barangay 287,Leyte,Leyte Mun 19,44,male,3,9717.47,10635.16,11.513005,122.110344,514,enum_02,2025-03-12
I003826,B216,Barangay 216,Negros Occidental,Negros Mun 5,18,female,4,11188.65,7323.14,8.147873,124.300046,1415,enum_15,2025-04-27
I006992,B385,Barangay 385,Agusan del Norte,Agusan Mun 5,29,male,7,16124.92,13792.25,8.223476,122.402537,814,enum_05,2025-03-12
I004074,B228,Barangay 228,Negros Occidental,Negros Mun 2,26,male,5,11870.83,8621.55,7.530375,122.859658,1015,enum_01,2025-07-20
I007419,B407,Barangay 407,Leyte,Leyte Mun 10,50,male,5,13717.38,9191.86,10.926372,125.736437,1428,enum_11,2025-04-07
I007229,B397,Barangay 397,Agusan del Norte,Agusan Mun 2,24,male,4,17815.22,19427.31,11.192165,123.103366,1154,enum_05,2025-10-14
I003898,B219,Barangay 219,Cebu,Cebu Mun 8,53,male,4,8816.72,7236.55,10.065998,122.222498,962,enum_20,2025-07-07
I006122,B337,Barangay 337,Agusan del Norte,Agusan Mun 14,34,female,2,13130.24,13690.95,9.571437,125.678595,613,enum_05,2025-08-03
I003122,B175,Barangay 175,Agusan del Norte,Agusan Mun 10,27,male,4,16129.96,12066.0,7.927694,124.398362,1284,enum_03,2025-10-09
I007332,B402,Barangay 402,Negros Occidental,Negros Mun 3,22,male,5,3938.49,2688.42,7.130876,122.942194,842,enum_15,2025-02-21
I002098,B115,Barangay 115,Agusan del Norte,Agusan Mun 9,35,female,2,7700.74,6272.73,9.394293,123.998416,1727,enum_20,2025-05-16
I006266,B346,Barangay 346,Iloilo,Iloilo Mun 10,29,female,6,10624.38,7888.67,11.683046,123.272307,982,enum_18,2025-07-24
I007829,B431,Barangay 431,Leyte,Leyte Mun 2,48,male,4,4322.61,4449.54,6.544984,122.439339,481,enum_11,2025-05-26
I002360,B131,Barangay 131,Leyte,Leyte Mun 8,42,male,5,11892.41,9217.49,7.072019,125.805729,1081,enum_16,2025-01-31
I005720,B316,Barangay 316,Iloilo,Iloilo Mun 5,26,male,4,21701.31,13796.28,8.339745,124.09569,645,enum_07,2025-10-25
I005485,B304,Barangay 304,Iloilo,Iloilo Mun 4,35,male,2,14250.44,8776.69,6.395781,122.472586,1147,enum_05,2025-05-26
I007946,B437,Barangay 437,Leyte,Leyte Mun 2,51,male,6,15714.15,11665.22,9.576129,126.01167,725,enum_18,2025-04-08
I008090,B445,Barangay 445,Agusan del Norte,Agusan Mun 10,23,female,5,12001.88,10162.77,6.359077,123.867811,837,enum_19,2025-02-16
I002857,B160,Barangay 160,Iloilo,Iloilo Mun 8,47,female,6,8417.19,6330.46,9.714301,125.411336,1074,enum_15,2025-08-15
I004082,B228,Barangay 228,Negros Occidental,Negros Mun 2,36,male,5,2071.93,1341.68,8.442092,124.51772,1004,enum_04,2025-09-01
I004345,B242,Barangay 242,Bukidnon,Bukidnon Mun 12,28,male,3,15877.37,12113.72,11.073961,122.266639,920,enum_15,2025-06-17
I006449,B356,Barangay 356,Bukidnon,Bukidnon Mun 7,18,female,5,8486.17,8475.41,11.54178,122.543724,1539,enum_09,2025-06-20
I005139,B287,Barangay 287,Leyte,Leyte Mun 19,26,male,5,2680.32,2420.16,6.094193,123.852793,348,enum_07,2025-06-11
I000293,B018,Barangay 018,Negros Occidental,Negros Mun 2,34,female,5,16668.13,18038.14,10.505973,124.53397,413,enum_14,2025-04-12
I002225,B123,Barangay 123,Cebu,Cebu Mun 4,36,female,4,11176.94,7206.4,7.767038,122.675311,589,enum_07,2025-02-25
I003807,B215,Barangay 215,Leyte,Leyte Mun 16,34,female,1,17077.31,15960.38,8.266689,124.08146,885,enum_03,2025-07-26
I006221,B343,Barangay 343,Agusan del Norte,Agusan Mun 1,27,male,5,9270.9,8758.29,7.349459,124.341082,502,enum_18,2025-02-05
I006252,B345,Barangay 345,Cebu,Cebu Mun 9,59,female,6,14667.04,14680.12,9.304452,124.144043,1288,enum_19,2025-07-01
I003710,B209,Barangay 209,Leyte,Leyte Mun 5,45,male,5,15268.51,11992.5,10.875205,122.569273,947,enum_11,2025-06-02
I002443,B137,Barangay 137,Leyte,Leyte Mun 9,19,female,6,7315.65,5908.17,8.369556,122.550037,1304,enum_14,2025-02-12
I000579,B034,Barangay 034,Iloilo,Iloilo Mun 10,56,female,3,9667.19,6092.09,7.063154,123.954467,1502,enum_07,2025-05-08
I007903,B435,Barangay 435,Cebu,Cebu Mun 4,26,female,4,12412.99,8608.43,6.104406,123.679522,1398,enum_07,2025-02-27
I008169,B448,Barangay 448,Iloilo,Iloilo Mun 6,58,female,2,6194.75,5135.51,11.98388,124.462074,413,enum_20,2025-07-21
I000592,B035,Barangay 035,Leyte,Leyte Mun 1,43,female,3,8330.43,8761.71,8.522407,123.422455,912,enum_11,2025-04-30
I006348,B350,Barangay 350,Bukidnon,Bukidnon Mun 11,40,male,2,16839.95,11500.99,9.462111,123.823917,1251,enum_05,2025-03-12
I001259,B070,Barangay 070,Iloilo,Iloilo Mun 8,27,female,5,10179.52,10174.99,9.453078,124.857655,1189,enum_19,2025-03-09
I005568,B308,Barangay 308,Bukidnon,Bukidnon Mun 14,44,female,4,16389.0,15076.71,9.144988,125.182172,971,enum_20,2025-05-19
I004100,B229,Barangay 229,Agusan del Norte,Agusan Mun 12,33,male,6,3168.43,2746.11,9.609358,124.330014,252,enum_02,2025-04-02
I005053,B284,Barangay 284,Bukidnon,Bukidnon Mun 13,33,male,6,8634.1,7185.72,7.601831,123.896957,1055,enum_18,2025-08-22
I006062,B334,Barangay 334,Iloilo,Iloilo Mun 5,60,female,3,16082.24,12934.92,6.026027,122.839959,578,enum_18,2025-09-21
I000230,B014,Barangay 014,Bukidnon,Bukidnon Mun 2,39,male,4,7949.41,6702.69,8.59572,125.323782,827,enum_03,2025-09-14
I004031,B226,Barangay 226,Iloilo,Iloilo Mun 11,28,female,6,11448.14,10709.34,10.241069,122.133489,767,enum_18,2025-04-07
I004443,B248,Barangay 248,Bukidnon,Bukidnon Mun 5,32,female,6,6577.58,6192.93,11.305671,124.001244,1300,enum_10,2025-07-25
I000930,B053,Barangay 053,Leyte,Leyte Mun 9,22,male,7,14779.38,13818.74,9.787268,124.426552,1070,enum_07,2025-04-07
I008031,B441,Barangay 441,Cebu,Cebu Mun 3,23,female,1,5103.48,4499.29,8.019849,122.988906,1473,enum_08,2025-07-07
I003964,B222,Barangay 222,Negros Occidental,Negros Mun 6,29,female,3,11153.68,10515.52,10.463095,124.33704,363,enum_19,2025-10-18
I000036,B003,Barangay 003,Cebu,Cebu Mun 10,44,male,7,12023.58,10539.63,9.084926,125.021479,1310,enum_16,2025-01-13
I004645,B260,Barangay 260,Bukidnon,Bukidnon Mun 9,29,male,7,20604.44,21976.77,11.481,122.996177,659,enum_10,2025-02-08
I005370,B298,Barangay 298,Iloilo,Iloilo Mun 12,38,female,7,4942.78,4185.52,8.526405,122.700054,1013,enum_16,2025-04-29
I008012,B441,Barangay 441,Cebu,Cebu Mun 3,39,male,7,5397.92,4527.74,7.087902,124.135007,750,enum_14,2025-10-18
I003309,B185,Barangay 185,Leyte,Leyte Mun 10,34,male,6,9571.31,10056.54,8.329122,122.564989,473,enum_20,2025-03-18
I001797,B097,Barangay 097,Agusan del Norte,Agusan Mun 7,18,male,3,10594.75,8478.18,10.707603,123.442086,819,enum_10,2025-01-20
I000939,B054,Barangay 054,Negros Occidental,Negros Mun 4,38,female,5,10572.32,11365.44,7.488012,124.574182,584,enum_04,2025-04-24
I005548,B307,Barangay 307,Agusan del Norte,Agusan Mun 9,60,female,5,8549.4,7300.03,8.055608,123.408931,1111,enum_02,2025-01-17
I005784,B319,Barangay 319,Agusan del Norte,Agusan Mun 14,19,female,5,13158.29,14124.06,10.91937,123.285484,894,enum_07,2025-09-06
I004581,B257,Barangay 257,Leyte,Leyte Mun 4,20,female,5,14380.43,14499.65,9.553823,122.335772,784,enum_04,2025-10-10
I000749,B044,Barangay 044,Bukidnon,Bukidnon Mun 12,50,female,7,6680.72,6295.79,10.11961,123.722993,342,enum_14,2025-05-14
I007636,B420,Barangay 420,Negros Occidental,Negros Mun 3,44,female,7,21284.85,20041.74,11.704432,125.053975,808,enum_18,2025-05-25
I002438,B137,Barangay 137,Leyte,Leyte Mun 9,46,female,5,10772.29,8727.66,10.933166,123.985805,582,enum_15,2025-10-23
I002112,B116,Barangay 116,Bukidnon,Bukidnon Mun 7,37,female,3,14679.62,12314.0,10.310501,122.336924,1216,enum_03,2025-07-14
I006682,B368,Barangay 368,Bukidnon,Bukidnon Mun 11,22,male,5,13719.54,13843.14,10.445255,123.438151,238,enum_10,2025-02-02
I003146,B176,Barangay 176,Bukidnon,Bukidnon Mun 7,54,male,2,10415.13,7926.25,9.307451,124.043962,787,enum_09,2025-08-30
I006267,B346,Barangay 346,Iloilo,Iloilo Mun 10,28,female,6,13451.22,12471.13,9.454853,122.615227,768,enum_03,2025-10-19
I002310,B128,Barangay 128,Bukidnon,Bukidnon Mun 14,41,male,3,9158.14,6663.45,7.945284,125.173135,1195,enum_07,2025-06-01
I003436,B192,Barangay 192,Negros Occidental,Negros Mun 9,53,male,4,8090.92,7227.59,8.65936,124.796453,1215,enum_11,2025-09-29
I002910,B163,Barangay 163,Agusan del Norte,Agusan Mun 7,18,female,4,8177.21,8506.03,11.993047,123.896442,952,enum_05,2025-04-11
