cluster,n,early_share
,58,0.0
B000001,20,0.15
B000002,18,0.05555555555555555
B000003,19,0.15789473684210525
B000004,21,0.38095238095238093
B000005,11,0.18181818181818182
B000006,8,0.125
B000007,24,0.16666666666666666
B000008,25,0.32
B000009,13,0.15384615384615385
B000010,20,0.05
B000011,24,0.20833333333333334
B000012,17,0.0
B000013,14,0.14285714285714285
B000014,20,0.05
B000015,15,0.06666666666666667
B000016,19,0.15789473684210525
B000017,16,0.0
B000018,28,0.2857142857142857
B000019,20,0.1
B000020,22,0.2727272727272727
B000021,17,0.23529411764705882
B000022,15,0.13333333333333333
B000023,12,0.0
B000024,16,0.1875
B000025,18,0.3333333333333333
B000026,14,0.07142857142857142
B000027,19,0.10526315789473684
B000028,20,0.2
B000029,16,0.125
B000030,19,0.10526315789473684
B000031,16,0.0
B000032,16,0.0625
B000033,21,0.2857142857142857
B000034,18,0.16666666666666666
B000035,18,0.05555555555555555
B000036,8,0.125
B000037,21,0.38095238095238093
B000038,23,0.34782608695652173
B000039,6,0.0
B000040,15,0.5333333333333333
B000041,16,0.125
B000042,21,0.19047619047619047
B000043,25,0.16
B000044,22,0.4090909090909091
B000045,25,0.36
B000046,20,0.35
B000047,15,0.26666666666666666
B000048,23,0.391304347826087
B000049,19,0.21052631578947367
B000050,8,0.125
B000051,17,0.29411764705882354
B000052,28,0.10714285714285714
B000053,13,0.3076923076923077
B000054,8,0.375
B000055,17,0.23529411764705882
B000056,16,0.0
B000057,16,0.3125
B000058,26,0.3076923076923077
B000059,20,0.35
B000060,7,0.0
B000061,16,0.125
B000062,20,0.05
B000063,18,0.3333333333333333
B000064,21,0.3333333333333333
B000065,23,0.30434782608695654
B000066,25,0.12
B000067,20,0.4
B000068,19,0.15789473684210525
B000069,10,0.4
B000070,11,0.0
B000071,15,0.13333333333333333
B000072,6,0.16666666666666666
B000073,11,0.36363636363636365
B000074,22,0.2727272727272727
B000075,17,0.23529411764705882
B000076,11,0.18181818181818182
B000077,20,0.25
B000078,14,0.21428571428571427
B000079,20,0.3
B000080,20,0.1
B000081,22,0.18181818181818182
B000082,23,0.13043478260869565
B000083,23,0.30434782608695654
B000084,12,0.08333333333333333
B000085,23,0.43478260869565216
B000086,7,0.0
B000087,26,0.3076923076923077
B000088,23,0.17391304347826086
B000089,20,0.25
B000090,18,0.3888888888888889
B000091,18,0.4444444444444444
B000092,20,0.2
B000093,17,0.17647058823529413
B000094,27,0.5555555555555556
B000095,23,0.043478260869565216
B000096,17,0.23529411764705882
B000097,17,0.23529411764705882
B000098,17,0.4117647058823529
B000099,20,0.25
B000100,26,0.23076923076923078
B000101,21,0.38095238095238093
B000102,24,0.125
B000103,20,0.1
B000104,24,0.20833333333333334
B000105,20,0.35
B000106,18,0.3888888888888889
B000107,16,0.1875
B000108,18,0.2777777777777778
B000109,15,0.13333333333333333
B000110,22,0.36363636363636365
B000111,13,0.3076923076923077
B000112,18,0.2777777777777778
B000113,11,0.18181818181818182
B000114,23,0.30434782608695654
B000115,28,0.17857142857142858
B000116,16,0.125
B000117,15,0.13333333333333333
B000118,25,0.16
B000119,23,0.13043478260869565
B000120,20,0.2
B000121,26,0.23076923076923078
B000122,18,0.1111111111111111
B000123,3,0.3333333333333333
B000124,22,0.2727272727272727
B000125,21,0.14285714285714285
B000126,16,0.1875
B000127,22,0.18181818181818182
B000128,29,0.2413793103448276
B000129,19,0.42105263157894735
B000130,20,0.25
B000131,8,0.25
B000132,20,0.25
B000133,22,0.18181818181818182
B000134,19,0.21052631578947367
B000135,9,0.2222222222222222
B000136,21,0.19047619047619047
B000137,22,0.2727272727272727
B000138,20,0.25
B000139,22,0.3181818181818182
B000140,24,0.25
B000141,9,0.1111111111111111
B000142,19,0.21052631578947367
B000143,21,0.0
B000144,20,0.2
B000145,15,0.06666666666666667
B000146,17,0.058823529411764705
B000147,15,0.06666666666666667
B000148,11,0.45454545454545453
B000149,15,0.0
B000150,19,0.05263157894736842
B000151,26,0.3076923076923077
B000152,11,0.09090909090909091
B000153,15,0.3333333333333333
B000154,16,0.0
B000155,16,0.25
B000156,18,0.3888888888888889
B000157,22,0.22727272727272727
B000158,9,0.2222222222222222
B000159,9,0.4444444444444444
B000160,25,0.24
B000161,22,0.22727272727272727
B000162,17,0.17647058823529413
B000163,15,0.06666666666666667
B000164,25,0.24
B000165,19,0.21052631578947367
B000166,9,0.0
B000167,9,0.3333333333333333
B000168,23,0.17391304347826086
B000169,17,0.11764705882352941
B000170,17,0.058823529411764705
B000171,16,0.0
B000172,16,0.125
B000173,20,0.05
B000174,20,0.15
B000175,15,0.2
B000176,12,0.3333333333333333
B000177,22,0.2727272727272727
B000178,25,0.08
B000179,17,0.11764705882352941
B000180,20,0.25
B000181,14,0.0
B000182,16,0.25
B000183,16,0.1875
B000184,19,0.0
B000185,22,0.2727272727272727
B000186,18,0.3333333333333333
B000187,17,0.23529411764705882
B000188,11,0.2727272727272727
B000189,7,0.14285714285714285
B000190,8,0.25
B000191,17,0.11764705882352941
B000192,12,0.0
B000193,22,0.22727272727272727
B000194,21,0.14285714285714285
B000195,23,0.30434782608695654
B000196,25,0.36
B000197,24,0.20833333333333334
B000198,19,0.10526315789473684
B000199,20,0.25
B000200,22,0.18181818181818182
B000201,7,0.2857142857142857
B000202,23,0.08695652173913043
B000203,16,0.0625
B000204,8,0.125
B000205,19,0.21052631578947367
B000206,27,0.14814814814814814
B000207,15,0.13333333333333333
B000208,11,0.0
B000209,24,0.25
B000210,25,0.16
B000211,11,0.6363636363636364
B000212,23,0.21739130434782608
B000213,22,0.2727272727272727
B000214,18,0.1111111111111111
